time,open,high,low,close,volume
Mon Mar 01 11:55:00 GMT 2021,123.57,123.57,123.48,123.56,1710
Mon Mar 01 11:56:00 GMT 2021,123.57,123.57,123.48,123.48,2357
Mon Mar 01 11:58:00 GMT 2021,123.43,123.43,123.43,123.43,1279
Mon Mar 01 11:59:00 GMT 2021,123.62,123.63,123.62,123.63,1827
Mon Mar 01 12:00:00 GMT 2021,123.6,123.76,123.47,123.59,47267
Mon Mar 01 12:01:00 GMT 2021,123.57,123.59,123.5,123.51,6265
Mon Mar 01 12:02:00 GMT 2021,123.51,123.56,123.5,123.51,13386
Mon Mar 01 12:03:00 GMT 2021,123.48,123.55,123.44,123.5,11746
Mon Mar 01 12:04:00 GMT 2021,123.52,123.56,123.45,123.5,10517
Mon Mar 01 12:05:00 GMT 2021,123.46,123.47,123.45,123.47,6459
Mon Mar 01 12:06:00 GMT 2021,123.44,123.46,123.4,123.4,12421
Mon Mar 01 12:07:00 GMT 2021,123.4,123.45,123.34,123.44,15859
Mon Mar 01 12:08:00 GMT 2021,123.42,123.55,123.42,123.55,15260
Mon Mar 01 12:09:00 GMT 2021,123.56,123.56,123.39,123.39,6014
Mon Mar 01 12:10:00 GMT 2021,123.46,123.47,123.4,123.47,4528
Mon Mar 01 12:11:00 GMT 2021,123.46,123.47,123.4,123.44,5347
Mon Mar 01 12:12:00 GMT 2021,123.44,123.52,123.44,123.45,18319
Mon Mar 01 12:13:00 GMT 2021,123.5,123.5,123.41,123.47,5681
Mon Mar 01 12:14:00 GMT 2021,123.48,123.48,123.44,123.47,5006
Mon Mar 01 12:15:00 GMT 2021,123.48,123.55,123.48,123.55,14846
Mon Mar 01 12:16:00 GMT 2021,123.52,123.55,123.49,123.55,13529
Mon Mar 01 12:17:00 GMT 2021,123.55,123.6,123.55,123.58,8243
Mon Mar 01 12:18:00 GMT 2021,123.59,123.62,123.59,123.62,7118
Mon Mar 01 12:19:00 GMT 2021,123.63,123.63,123.53,123.53,6084
Mon Mar 01 12:20:00 GMT 2021,123.52,123.55,123.51,123.54,5058
Mon Mar 01 12:21:00 GMT 2021,123.55,123.61,123.55,123.61,5009
Mon Mar 01 12:22:00 GMT 2021,123.64,123.649,123.58,123.58,5874
Mon Mar 01 12:23:00 GMT 2021,123.57,123.59,123.57,123.58,1756
Mon Mar 01 12:24:00 GMT 2021,123.57,123.58,123.56,123.56,3602
Mon Mar 01 12:25:00 GMT 2021,123.57,123.66,123.57,123.63,11745
Mon Mar 01 12:26:00 GMT 2021,123.61,123.75,123.6,123.63,17676
Mon Mar 01 12:27:00 GMT 2021,123.62,123.62,123.54,123.54,6359
Mon Mar 01 12:28:00 GMT 2021,123.54,123.6,123.52,123.55,5227
Mon Mar 01 12:29:00 GMT 2021,123.55,123.55,123.53,123.55,3145
Mon Mar 01 12:30:00 GMT 2021,123.55,123.56,123.5,123.53,12450
Mon Mar 01 12:31:00 GMT 2021,123.52,123.52,123.5,123.5,4600
Mon Mar 01 12:32:00 GMT 2021,123.5,123.5,123.48,123.48,4519
Mon Mar 01 12:33:00 GMT 2021,123.45,123.45,123.33,123.33,8855
Mon Mar 01 12:34:00 GMT 2021,123.4,123.43,123.37,123.43,3385
Mon Mar 01 12:35:00 GMT 2021,123.41,123.46,123.401,123.45,4186
Mon Mar 01 12:36:00 GMT 2021,123.44,123.5,123.42,123.5,6614
Mon Mar 01 12:37:00 GMT 2021,123.46,123.46,123.41,123.41,3948
Mon Mar 01 12:38:00 GMT 2021,123.43,123.45,123.42,123.45,3800
Mon Mar 01 12:39:00 GMT 2021,123.45,123.45,123.4,123.43,4340
Mon Mar 01 12:40:00 GMT 2021,123.46,123.46,123.31,123.38,5196
Mon Mar 01 12:41:00 GMT 2021,123.33,123.34,123.25,123.28,10010
Mon Mar 01 12:42:00 GMT 2021,123.27,123.3,123.22,123.25,15345
Mon Mar 01 12:43:00 GMT 2021,123.25,123.29,123.17,123.28,11401
Mon Mar 01 12:44:00 GMT 2021,123.29,123.32,123.27,123.29,5124
Mon Mar 01 12:45:00 GMT 2021,123.26,123.35,123.26,123.33,7377
Mon Mar 01 12:46:00 GMT 2021,123.32,123.32,123.29,123.3,1573
Mon Mar 01 12:47:00 GMT 2021,123.3,123.38,123.3,123.38,7798
Mon Mar 01 12:48:00 GMT 2021,123.38,123.49,123.37,123.43,10245
Mon Mar 01 12:49:00 GMT 2021,123.42,123.45,123.4,123.45,2528
Mon Mar 01 12:50:00 GMT 2021,123.41,123.45,123.401,123.45,1862
Mon Mar 01 12:51:00 GMT 2021,123.45,123.47,123.44,123.44,2527
Mon Mar 01 12:52:00 GMT 2021,123.44,123.44,123.4,123.44,4607
Mon Mar 01 12:53:00 GMT 2021,123.44,123.51,123.44,123.5,8014
Mon Mar 01 12:54:00 GMT 2021,123.51,123.53,123.49,123.5,5839
Mon Mar 01 12:55:00 GMT 2021,123.52,123.55,123.49,123.501,5498
Mon Mar 01 12:56:00 GMT 2021,123.51,123.51,123.49,123.49,25415
Mon Mar 01 12:57:00 GMT 2021,123.46,123.46,123.42,123.45,4162
Mon Mar 01 12:58:00 GMT 2021,123.46,123.46,123.46,123.46,1895
Mon Mar 01 12:59:00 GMT 2021,123.46,123.54,123.46,123.52,5661
Mon Mar 01 13:00:00 GMT 2021,123.5,123.55,123.47,123.5,173796
Mon Mar 01 13:01:00 GMT 2021,123.499,123.499,123.44,123.47,5379
Mon Mar 01 13:02:00 GMT 2021,123.43,123.45,123.37,123.37,11258
Mon Mar 01 13:03:00 GMT 2021,123.43,123.48,123.43,123.44,3830
Mon Mar 01 13:04:00 GMT 2021,123.445,123.59,123.44,123.56,15731
Mon Mar 01 13:05:00 GMT 2021,123.54,123.54,123.29,123.5,11091
Mon Mar 01 13:06:00 GMT 2021,123.52,123.52,123.46,123.5,4470
Mon Mar 01 13:07:00 GMT 2021,123.48,123.5,123.48,123.48,6231
Mon Mar 01 13:08:00 GMT 2021,123.48,123.49,123.45,123.49,3928
Mon Mar 01 13:09:00 GMT 2021,123.46,123.46,123.42,123.44,6483
